,loss,mean_squared_error,auc,val_loss,val_mean_squared_error,val_auc
0,0.8582295775413513,0.2954106032848358,0.4953535497188568,26.673078536987305,0.44999998807907104,0.5
1,0.7218319177627563,0.26133862137794495,0.5105050802230835,116.29498291015625,0.44999998807907104,0.5
2,0.6896844506263733,0.24823282659053802,0.5290908813476562,153.67601013183594,0.44999998807907104,0.5
3,0.7086459994316101,0.2533920407295227,0.578181803226471,127.029052734375,0.44999998807907104,0.5
4,0.6722195148468018,0.24154436588287354,0.5682827830314636,105.4549789428711,0.44999998807907104,0.5
5,0.6757621765136719,0.24262882769107819,0.5785858631134033,90.46309661865234,0.44999611377716064,0.5
6,0.6563337445259094,0.23277682065963745,0.64161616563797,185.3918914794922,0.44999998807907104,0.5
7,0.7359750270843506,0.2668975293636322,0.46666663885116577,158.7611846923828,0.4498966932296753,0.5018181800842285
8,0.6693774461746216,0.24043916165828705,0.559798002243042,151.5994873046875,0.44722801446914673,0.5018181800842285
9,0.7717567682266235,0.26994243264198303,0.5195959210395813,105.32681274414062,0.446020245552063,0.5018181800842285
